id,country,sector,sector_base_prob,country_multiplier,tariff_risk_prob,tariff_risk_pct
245,FALKLAND ISLANDS,Automotive,0.262,1,0.262,26.20%
246,FALKLAND ISLANDS,Energy,0.3861,1,0.3861,38.60%
247,FALKLAND ISLANDS,Lumber,0.3205,1,0.3205,32.00%
248,FALKLAND ISLANDS,Maritime,0.2481,1,0.2481,24.80%
249,FALKLAND ISLANDS,Metals,0.3206,1,0.3206,32.10%
250,FALKLAND ISLANDS,Minerals,0.3199,1,0.3199,32.00%
251,FALKLAND ISLANDS,Pharmaceutical,0.3201,1,0.3201,32.00%
252,FALKLAND ISLANDS,Semiconductor,0.3201,1,0.3201,32.00%
253,FALKLAND ISLANDS,Steel & Aluminum,0.3208,1,0.3208,32.10%
254,FIJI,Aerospace,0.2174,1,0.2174,21.70%
255,FIJI,Agriculture,0.5263,1,0.5263,52.60%
256,FIJI,Automotive,0.262,1,0.262,26.20%
257,FIJI,Energy,0.3861,1,0.3861,38.60%
258,FIJI,Lumber,0.3205,1,0.3205,32.00%
259,FIJI,Maritime,0.2481,1,0.2481,24.80%
260,FIJI,Metals,0.3206,1,0.3206,32.10%
261,FIJI,Minerals,0.3199,1,0.3199,32.00%
262,FIJI,Pharmaceutical,0.3201,1,0.3201,32.00%
263,FIJI,Semiconductor,0.3201,1,0.3201,32.00%
264,FIJI,Steel & Aluminum,0.3208,1,0.3208,32.10%
265,GHANA,Aerospace,0.2174,1,0.2174,21.70%
266,GHANA,Agriculture,0.5263,1,0.5263,52.60%
267,GHANA,Automotive,0.262,1,0.262,26.20%
268,GHANA,Energy,0.3861,1,0.3861,38.60%
269,GHANA,Lumber,0.3205,1,0.3205,32.00%
270,GHANA,Maritime,0.2481,1,0.2481,24.80%
271,GHANA,Metals,0.3206,1,0.3206,32.10%
272,GHANA,Minerals,0.3199,1,0.3199,32.00%
273,GHANA,Pharmaceutical,0.3201,1,0.3201,32.00%
274,GHANA,Semiconductor,0.3201,1,0.3201,32.00%
275,GHANA,Steel & Aluminum,0.3208,1,0.3208,32.10%
276,GLOBAL,Aerospace,0.2174,2,0.4348,43.50%
277,GLOBAL,Agriculture,0.5263,2,0.99,99.00%
278,GLOBAL,Automotive,0.262,2,0.524,52.40%
279,GLOBAL,Energy,0.3861,2,0.7722,77.20%
280,GLOBAL,Lumber,0.3205,2,0.641,64.10%
281,GLOBAL,Maritime,0.2481,2,0.4962,49.60%
282,GLOBAL,Metals,0.3206,2,0.6412,64.10%
283,GLOBAL,Minerals,0.3199,2,0.6398,64.00%
284,GLOBAL,Pharmaceutical,0.3201,2,0.6402,64.00%
285,GLOBAL,Semiconductor,0.3201,2,0.6402,64.00%
286,GLOBAL,Steel & Aluminum,0.3208,2,0.6416,64.20%
287,GUYANA,Aerospace,0.2174,1,0.2174,21.70%
288,GUYANA,Agriculture,0.5263,1,0.5263,52.60%
289,GUYANA,Automotive,0.262,1,0.262,26.20%
290,GUYANA,Energy,0.3861,1,0.3861,38.60%
291,GUYANA,Lumber,0.3205,1,0.3205,32.00%
292,GUYANA,Maritime,0.2481,1,0.2481,24.80%
293,GUYANA,Metals,0.3206,1,0.3206,32.10%
294,GUYANA,Minerals,0.3199,1,0.3199,32.00%
295,GUYANA,Pharmaceutical,0.3201,1,0.3201,32.00%
296,GUYANA,Semiconductor,0.3201,1,0.3201,32.00%
297,GUYANA,Steel & Aluminum,0.3208,1,0.3208,32.10%
298,ICELAND,Aerospace,0.2174,1,0.2174,21.70%
299,ICELAND,Agriculture,0.5263,1,0.5263,52.60%
300,ICELAND,Automotive,0.262,1,0.262,26.20%
301,ICELAND,Energy,0.3861,1,0.3861,38.60%
302,ICELAND,Lumber,0.3205,1,0.3205,32.00%
303,ICELAND,Maritime,0.2481,1,0.2481,24.80%
304,ICELAND,Metals,0.3206,1,0.3206,32.10%
305,ICELAND,Minerals,0.3199,1,0.3199,32.00%
306,ICELAND,Pharmaceutical,0.3201,1,0.3201,32.00%
307,ICELAND,Semiconductor,0.3201,1,0.3201,32.00%
308,ICELAND,Steel & Aluminum,0.3208,1,0.3208,32.10%
309,INDIA,Aerospace,0.2174,2,0.4348,43.50%
310,INDIA,Agriculture,0.5263,2,0.99,99.00%
311,INDIA,Automotive,0.262,2,0.524,52.40%
312,INDIA,Energy,0.3861,2,0.7722,77.20%
313,INDIA,Lumber,0.3205,2,0.641,64.10%
314,INDIA,Maritime,0.2481,2,0.4962,49.60%
315,INDIA,Metals,0.3206,2,0.6412,64.10%
316,INDIA,Minerals,0.3199,2,0.6398,64.00%
317,INDIA,Pharmaceutical,0.3201,2,0.6402,64.00%
318,INDIA,Semiconductor,0.3201,2,0.6402,64.00%
319,INDIA,Steel & Aluminum,0.3208,2,0.6416,64.20%
320,INDONESIA,Aerospace,0.2174,1,0.2174,21.70%
321,INDONESIA,Agriculture,0.5263,1,0.5263,52.60%
322,INDONESIA,Automotive,0.262,1,0.262,26.20%
323,INDONESIA,Energy,0.3861,1,0.3861,38.60%
324,INDONESIA,Lumber,0.3205,1,0.3205,32.00%
325,INDONESIA,Maritime,0.2481,1,0.2481,24.80%
326,INDONESIA,Metals,0.3206,1,0.3206,32.10%
327,INDONESIA,Minerals,0.3199,1,0.3199,32.00%
328,INDONESIA,Pharmaceutical,0.3201,1,0.3201,32.00%
329,INDONESIA,Semiconductor,0.3201,1,0.3201,32.00%
330,INDONESIA,Steel & Aluminum,0.3208,1,0.3208,32.10%
331,IRAQ,Aerospace,0.2174,1,0.2174,21.70%
332,IRAQ,Agriculture,0.5263,1,0.5263,52.60%
333,IRAQ,Automotive,0.262,1,0.262,26.20%
334,IRAQ,Energy,0.3861,1,0.3861,38.60%
335,IRAQ,Lumber,0.3205,1,0.3205,32.00%
336,IRAQ,Maritime,0.2481,1,0.2481,24.80%
337,IRAQ,Metals,0.3206,1,0.3206,32.10%
338,IRAQ,Minerals,0.3199,1,0.3199,32.00%
339,IRAQ,Pharmaceutical,0.3201,1,0.3201,32.00%
340,IRAQ,Semiconductor,0.3201,1,0.3201,32.00%
341,IRAQ,Steel & Aluminum,0.3208,1,0.3208,32.10%
342,ISRAEL,Aerospace,0.2174,1,0.2174,21.70%
343,ISRAEL,Agriculture,0.5263,1,0.5263,52.60%
344,ISRAEL,Automotive,0.262,1,0.262,26.20%
345,ISRAEL,Energy,0.3861,1,0.3861,38.60%
346,ISRAEL,Lumber,0.3205,1,0.3205,32.00%
347,ISRAEL,Maritime,0.2481,1,0.2481,24.80%
348,ISRAEL,Metals,0.3206,1,0.3206,32.10%
349,ISRAEL,Minerals,0.3199,1,0.3199,32.00%
350,ISRAEL,Pharmaceutical,0.3201,1,0.3201,32.00%
351,ISRAEL,Semiconductor,0.3201,1,0.3201,32.00%
352,ISRAEL,Steel & Aluminum,0.3208,1,0.3208,32.10%
353,JAPAN,Aerospace,0.2174,1,0.2174,21.70%
354,JAPAN,Agriculture,0.5263,1,0.5263,52.60%
355,JAPAN,Automotive,0.262,1,0.262,26.20%
356,JAPAN,Energy,0.3861,1,0.3861,38.60%
357,JAPAN,Lumber,0.3205,1,0.3205,32.00%
358,JAPAN,Maritime,0.2481,1,0.2481,24.80%
359,JAPAN,Metals,0.3206,1,0.3206,32.10%
360,JAPAN,Minerals,0.3199,1,0.3199,32.00%
361,JAPAN,Pharmaceutical,0.3201,1,0.3201,32.00%
362,JAPAN,Semiconductor,0.3201,1,0.3201,32.00%
363,JAPAN,Steel & Aluminum,0.3208,1,0.3208,32.10%
364,JORDAN,Aerospace,0.2174,1,0.2174,21.70%
365,JORDAN,Agriculture,0.5263,1,0.5263,52.60%
366,JORDAN,Automotive,0.262,1,0.262,26.20%
367,JORDAN,Energy,0.3861,1,0.3861,38.60%
368,JORDAN,Lumber,0.3205,1,0.3205,32.00%
369,JORDAN,Maritime,0.2481,1,0.2481,24.80%
370,JORDAN,Metals,0.3206,1,0.3206,32.10%
371,JORDAN,Minerals,0.3199,1,0.3199,32.00%
372,JORDAN,Pharmaceutical,0.3201,1,0.3201,32.00%
373,JORDAN,Semiconductor,0.3201,1,0.3201,32.00%
374,JORDAN,Steel & Aluminum,0.3208,1,0.3208,32.10%
375,KAZAKHSTAN,Aerospace,0.2174,1,0.2174,21.70%
376,KAZAKHSTAN,Agriculture,0.5263,1,0.5263,52.60%
377,KAZAKHSTAN,Automotive,0.262,1,0.262,26.20%
378,KAZAKHSTAN,Energy,0.3861,1,0.3861,38.60%
379,KAZAKHSTAN,Lumber,0.3205,1,0.3205,32.00%
380,KAZAKHSTAN,Maritime,0.2481,1,0.2481,24.80%
381,KAZAKHSTAN,Metals,0.3206,1,0.3206,32.10%
382,KAZAKHSTAN,Minerals,0.3199,1,0.3199,32.00%
383,KAZAKHSTAN,Pharmaceutical,0.3201,1,0.3201,32.00%
384,KAZAKHSTAN,Semiconductor,0.3201,1,0.3201,32.00%
385,KAZAKHSTAN,Steel & Aluminum,0.3208,1,0.3208,32.10%
386,LAOS,Aerospace,0.2174,1,0.2174,21.70%
387,LAOS,Agriculture,0.5263,1,0.5263,52.60%
388,LAOS,Automotive,0.262,1,0.262,26.20%
389,LAOS,Energy,0.3861,1,0.3861,38.60%
390,LAOS,Lumber,0.3205,1,0.3205,32.00%
391,LAOS,Maritime,0.2481,1,0.2481,24.80%
