date,XOM_baseline,XOM_impacted,CVX_baseline,CVX_impacted,COP_baseline,COP_impacted,PXD_baseline,PXD_impacted,EOG_baseline,EOG_impacted,MPC_baseline,MPC_impacted,VLO_baseline,VLO_impacted,PSX_baseline,PSX_impacted,SLB_baseline,SLB_impacted,HAL_baseline,HAL_impacted,OXY_baseline,OXY_impacted,DVN_baseline,DVN_impacted,HES_baseline,HES_impacted,BKR_baseline,BKR_impacted,FANG_baseline,FANG_impacted,APA_baseline,APA_impacted,MRO_baseline,MRO_impacted,OVV_baseline,OVV_impacted,CTRA_baseline,CTRA_impacted,RRC_baseline,RRC_impacted
2026-04-01,152.2005,195.1376,187.6294,240.5613,111.4658,142.9113,100.8579,129.3107,122.4261,156.9635,202.5441,259.6835,209.5782,268.702,160.6952,206.0287,52.2587,67.0014,35.9708,46.1184,51.9268,66.5758,45.2849,58.0602,100.8579,129.3107,64.3283,82.4758,176.3286,226.0724,29.6828,38.0565,100.8579,129.3107,51.3111,65.7864,31.6329,40.5568,39.7563,50.9719
2026-04-02,152.3288,195.0276,187.7253,240.3459,111.4899,142.7413,100.88,129.1573,122.4094,156.7215,202.6946,259.5113,209.8093,268.6203,160.8241,205.9041,52.2954,66.9541,35.9931,46.0822,51.929,66.4851,45.3081,58.0082,100.88,129.1573,64.3835,82.4307,176.3368,225.7652,29.6989,38.0237,100.88,129.1573,51.33,65.7182,31.642,40.5114,39.7575,50.9018
2026-04-03,152.4573,194.9264,187.8211,240.1414,111.514,142.5778,100.9021,129.0097,122.3926,156.4868,202.8453,259.3507,210.0407,268.5505,160.953,205.7888,52.332,66.9099,36.0155,46.0481,51.9313,66.3975,45.3313,57.9589,100.9021,129.0097,64.4388,82.3892,176.345,225.4684,29.7151,37.9926,100.9021,129.0097,51.3489,65.6529,31.6511,40.4679,39.7587,50.8341
2026-04-04,152.5858,194.8335,187.9171,239.9473,111.5381,142.4206,100.9242,128.8679,122.3759,156.2592,202.996,259.2013,210.2723,268.4922,161.0821,205.6822,52.3687,66.8685,36.0379,46.016,51.9335,66.3128,45.3545,57.9122,100.9242,128.8679,64.4942,82.3512,176.3532,225.1816,29.7312,37.9632,100.9242,128.8679,51.3678,65.5904,31.6602,40.4262,39.7599,50.7686
2026-04-05,152.7144,194.7488,188.013,239.7633,111.5622,142.2695,100.9463,128.7316,122.3592,156.0384,203.1469,259.0627,210.5042,268.4452,161.2112,205.5843,52.4054,66.8299,36.0602,45.9858,51.9357,66.231,45.3777,57.8678,100.9463,128.7316,64.5496,82.3167,176.3613,224.9045,29.7474,37.9353,100.9463,128.7316,51.3867,65.5308,31.6693,40.3862,39.7611,50.7053
2026-04-06,152.8431,194.6719,188.1091,239.5891,111.5864,142.1243,100.9684,128.6005,122.3425,155.8241,203.2979,258.9347,210.7364,268.4089,161.3405,205.4948,52.4422,66.7941,36.0827,45.9574,51.938,66.1519,45.4009,57.8259,100.9684,128.6005,64.605,82.2856,176.3695,224.6368,29.7636,37.909,100.9684,128.6005,51.4056,65.4739,31.6784,40.3478,39.7623,50.6441
2026-04-07,152.972,194.6028,188.2051,239.4245,111.6105,141.9849,100.9905,128.4747,122.3258,155.6163,203.4489,258.8168,210.9688,268.3832,161.4698,205.4133,52.4789,66.7609,36.1051,45.9309,51.9402,66.0755,45.4242,57.7862,100.9905,128.4747,64.6605,82.2576,176.3777,224.3782,29.7798,37.8842,100.9905,128.4747,51.4245,65.4195,31.6875,40.3111,39.7635,50.585
2026-04-08,153.101,194.541,188.3013,239.269,111.6346,141.8509,101.0126,128.3538,122.3091,155.4146,203.6001,258.7088,211.2015,268.3676,161.5993,205.3396,52.5157,66.7302,36.1275,45.9062,51.9424,66.0017,45.4474,57.7487,101.0126,128.3538,64.716,82.2328,176.3859,224.1285,29.796,37.8609,101.0126,128.3538,51.4435,65.3677,31.6966,40.276,39.7647,50.5278
2026-04-09,153.23,194.4863,188.3974,239.1224,111.6587,141.7222,101.0347,128.2378,122.2924,155.2189,203.7514,258.6104,211.4344,268.3619,161.7289,205.2735,52.5525,66.702,36.1499,45.8831,51.9446,65.9304,45.4707,57.7134,101.0347,128.2378,64.7716,82.211,176.3941,223.8872,29.8122,37.8389,101.0347,128.2378,51.4624,65.3184,31.7057,40.2423,39.7659,50.4726
2026-04-10,153.3592,194.4386,188.4937,238.9844,111.6829,141.5987,101.0569,128.1264,122.2757,155.029,203.9029,258.5212,211.6676,268.3657,161.8586,205.2147,52.5893,66.6762,36.1724,45.8617,51.9469,65.8616,45.494,57.6802,101.0569,128.1264,64.8273,82.1922,176.4022,223.6541,29.8284,37.8183,101.0569,128.1264,51.4813,65.2713,31.7148,40.2101,39.767,50.4192
