"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2025","2025-Q1","2025-M01","2025-M02","2025-M03","2025-Q2","2025-M04","2025-M05","2025-M06","2025-Q3","2025-M07","2025-M08","2025-M09","2025-Q4","2025-M10","2025-M11","2025-M12","2026-M01"
"IMF.STA:ER(4.0.1)","SSD.XDC_USD.PA_RT.M","OBS_VALUE","South Sudan, Republic of","Domestic currency per US Dollar","Period average","Monthly","Units","","","4137.7301","4394.5845","4462.3275","","4482.3088","4496.539","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDC_EUR.EOP_RT.M","OBS_VALUE","South Sudan, Republic of","Domestic currency per Euro","End-of-period (EoP)","Monthly","Units","","","4469.18299801","4633.67728254","4823.4400347","","5109.38155047","5106.17258372","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDR_XDC.PA_RT.Q","OBS_VALUE","South Sudan, Republic of","SDR per domestic currency","Period average","Quarterly","Units","","0.0001758881908033718","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDR_XDC.EOP_RT.M","OBS_VALUE","South Sudan, Republic of","SDR per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0001783583439198917","0.000171642927529046","0.0001687501785332395","","0.0001641384870195992","0.000163678906362212","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDC_XDR.PA_RT.M","OBS_VALUE","South Sudan, Republic of","Domestic currency per SDR","Period average","Monthly","Units","","","5385.724403460474","5747.706615803032","5927.389304660394","","6042.950189473821","6084.20035369565","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","SSD.XDC_USD.EOP_RT.Q","OBS_VALUE","South Sudan, Republic of","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","4459.9538","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDR_XDC.PA_RT.Q","OBS_VALUE","Lebanon","SDR per domestic currency","Period average","Quarterly","Units","","0.000008512491951978875","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.USD_XDC.PA_RT.Q","OBS_VALUE","Lebanon","US Dollar per domestic currency","Period average","Quarterly","Units","","0.0000111731843575419","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.EUR_XDC.EOP_RT.Q","OBS_VALUE","Lebanon","Euros per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.00001033119219375118","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDC_USD.PA_RT.Q","OBS_VALUE","Lebanon","Domestic currency per US Dollar","Period average","Quarterly","Units","","89500","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDC_XDR.PA_RT.Q","OBS_VALUE","Lebanon","Domestic currency per SDR","Period average","Quarterly","Units","","117474.4135608296","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDC_EUR.EOP_RT.Q","OBS_VALUE","Lebanon","Domestic currency per Euro","End-of-period (EoP)","Quarterly","Units","","96794.25","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.USD_XDC.EOP_RT.Q","OBS_VALUE","Lebanon","US Dollar per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.0000111731843575419","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDC_XDR.EOP_RT.Q","OBS_VALUE","Lebanon","Domestic currency per SDR","End-of-period (EoP)","Quarterly","Units","","118918.2294337898","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDR_XDC.EOP_RT.Q","OBS_VALUE","Lebanon","SDR per domestic currency","End-of-period (EoP)","Quarterly","Units","","0.000008409139664804468","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDC_USD.EOP_RT.Q","OBS_VALUE","Lebanon","Domestic currency per US Dollar","End-of-period (EoP)","Quarterly","Units","","89500","","","","","","","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDR_XDC.PA_RT.M","OBS_VALUE","Lebanon","SDR per domestic currency","Period average","Monthly","Units","","","0.000008584104526281589","0.000008542799080644435","0.000008411529133412582","","0.000008287617967970241","0.000008257561601724707","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDC_USD.PA_RT.M","OBS_VALUE","Lebanon","Domestic currency per US Dollar","Period average","Monthly","Units","","","89500","89500","89500","","89500","89500","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.USD_XDC.EOP_RT.M","OBS_VALUE","Lebanon","US Dollar per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.0000111731843575419","0.0000111731843575419","0.0000111731843575419","","0.0000111731843575419","0.0000111731843575419","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.EUR_XDC.EOP_RT.M","OBS_VALUE","Lebanon","Euros per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.00001075068253395737","0.00001073209524305244","0.00001033119219375118","","0.000009824307005664204","0.000009853765197585236","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDC_EUR.EOP_RT.M","OBS_VALUE","Lebanon","Domestic currency per Euro","End-of-period (EoP)","Monthly","Units","","","93017.35","93178.45","96794.25","","101788.35","101484.05","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.USD_XDC.PA_RT.M","OBS_VALUE","Lebanon","US Dollar per domestic currency","Period average","Monthly","Units","","","0.0000111731843575419","0.0000111731843575419","0.0000111731843575419","","0.0000111731843575419","0.0000111731843575419","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDC_USD.EOP_RT.M","OBS_VALUE","Lebanon","Domestic currency per US Dollar","End-of-period (EoP)","Monthly","Units","","","89500","89500","89500","","89500","89500","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDC_XDR.PA_RT.M","OBS_VALUE","Lebanon","Domestic currency per SDR","Period average","Monthly","Units","","","116494.3876135644","117057.6517789956","118884.4482542138","","120661.9325196664","121101.1250332224","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDC_XDR.EOP_RT.M","OBS_VALUE","Lebanon","Domestic currency per SDR","End-of-period (EoP)","Monthly","Units","","","116692.3520223632","117155.7975757258","118918.2294337898","","121372.224881713","121425.4122358828","","","","","","","","","",""
"IMF.STA:ER(4.0.1)","LBN.XDR_XDC.EOP_RT.M","OBS_VALUE","Lebanon","SDR per domestic currency","End-of-period (EoP)","Monthly","Units","","","0.000008569541899441341","0.000008535642458100562","0.000008409139664804468","","0.00000823911731843575","0.000008235508379888266","","","","","","","","","",""
